loan_id,account_id,date_x,amount,duration,payments,status,district_id,frequency,date_y,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
4996,132,1996-11-06,88440,12,7370.0,A,40,POPLATEK PO OBRATU,1996-05-11,7370.2,0.0,0.0,0.0,0.0,7370.2,1996-05-11,1996-10-31,460375.0,14850.806451612903,14855.14233841681,200.0,103239.0,62778.096774193546,21638.27578213329,269642.0,15333.0,175400.0,1517.0,0.0,0.0,268125.0,190733.0,0.0,458458.0,0.0,0.0,0.0,400.0,1517.0,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,OWNER,F,1945-07-03,classic,1997-12-06
5002,173,1994-05-31,104808,12,8734.0,A,66,POPLATEK MESICNE,1993-11-26,17342.0,0.0,1617.0,735.0,6256.0,8734.0,1993-11-26,1994-05-25,199278.0,6642.6,7504.257029088269,500.0,57865.0,38709.7,11517.123015843365,113647.0,0.0,85631.0,612.0,17216.0,0.0,113035.0,68415.0,0.0,184669.0,1470.0,0.0,12512.0,15.0,612.0,125832,151,41,2,3,5,48.3,8512,3.5,4.12,102,2247.0,2103,OWNER,M,1939-11-30,No Card,
5005,176,1997-04-10,27456,12,2288.0,A,71,POPLATEK TYDNE,1996-08-12,6985.3,0.0,36.0,97.0,4564.0,2288.3,1996-08-12,1997-04-09,885024.0,11800.32,15202.212161357273,800.0,111282.0,48780.09333333333,24959.77170350664,460653.0,36106.0,388265.0,1545.0,23485.0,0.0,459108.0,400886.0,0.0,859994.0,485.0,0.0,22820.0,180.0,1545.0,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595,OWNER,M,1967-09-24,No Card,
5015,226,1998-07-12,109344,12,9112.0,C,70,POPLATEK MESICNE,1997-02-23,18040.0,0.0,0.0,0.0,8928.0,9112.0,1997-02-23,1998-07-11,697663.0,7501.752688172043,7748.35564835465,1000.0,80433.0,48376.22580645161,12283.922748444878,382159.0,0.0,315504.0,2869.0,116064.0,0.0,379290.0,196540.0,2900.0,578550.0,0.0,0.0,116064.0,180.0,2869.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1944-10-25,classic,1997-12-05
5027,276,1998-12-02,160920,36,4470.0,C,38,POPLATEK MESICNE,1997-12-08,9682.5,0.0,0.0,0.0,5212.0,4470.5,1997-12-08,1998-11-30,656117.0,11120.627118644068,12038.638343637835,700.0,74906.0,51649.4406779661,16029.125186694708,352220.0,16593.0,287304.0,2822.0,36484.0,348698.0,700.0,267413.0,0.0,616691.0,0.0,0.0,36484.0,120.0,2822.0,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822,OWNER,M,1971-10-19,classic,1998-10-13
5032,290,1994-11-03,123696,48,2577.0,A,56,POPLATEK MESICNE,1993-12-02,8504.0,0.0,3274.0,0.0,2653.0,2577.0,1993-12-02,1994-10-31,546151.0,8953.295081967213,12420.969352059796,300.0,89822.0,49084.50819672131,20572.423084980335,285669.0,50330.0,210152.0,2169.0,35562.0,0.0,283500.0,224920.0,0.0,527974.0,0.0,0.0,15918.0,90.0,2169.0,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,OWNER,M,1940-08-27,No Card,
5034,303,1998-05-30,112752,36,3132.0,C,71,POPLATEK MESICNE,1996-07-25,6935.0,0.0,0.0,0.0,3803.0,3132.0,1996-07-25,1998-05-20,720529.0,5585.496124031008,6588.927711893869,900.0,68402.0,44659.68992248062,11387.137767152059,384720.0,0.0,335809.0,3601.0,68454.0,0.0,381119.0,267355.0,0.0,648219.0,0.0,0.0,68454.0,255.0,3601.0,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595,OWNER,F,1956-01-05,classic,1998-10-18
5036,309,1998-11-25,91248,48,1901.0,C,14,POPLATEK MESICNE,1997-04-25,1901.0,0.0,0.0,0.0,0.0,1901.0,1997-04-25,1998-11-16,783962.0,7918.80808080808,9131.1876663162,900.0,59726.0,30173.131313131315,10956.849182734659,399412.0,0.0,384550.0,2118.0,0.0,0.0,397294.0,384550.0,0.0,781634.0,0.0,0.0,0.0,210.0,2118.0,177686,69,27,10,1,9,74.8,10045,1.4,1.71,135,6604.0,6295,OWNER,F,1973-01-08,No Card,
5039,314,1997-05-03,66840,24,2785.0,C,15,POPLATEK PO OBRATU,1996-01-26,16476.0,0.0,0.0,0.0,13691.0,2785.0,1996-01-26,1997-04-30,1179010.0,12542.659574468085,14824.153600421367,700.0,109016.0,38819.244680851065,18712.62123135318,600842.0,73567.0,504601.0,2189.0,150601.0,590353.0,8300.0,427567.0,0.0,1025120.0,0.0,0.0,150601.0,1100.0,2189.0,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879,OWNER,F,1939-05-17,No Card,
5041,319,1997-07-11,369000,60,6150.0,C,47,POPLATEK TYDNE,1995-10-17,9818.5,0.0,2196.0,416.0,1057.0,6149.5,1995-10-17,1997-07-10,1035410.0,6055.029239766081,9536.385586378161,700.0,110827.0,48648.3567251462,19732.059611236993,547477.0,28705.0,459228.0,3660.0,66458.0,0.0,543817.0,421475.0,0.0,1004250.0,7904.0,0.0,19026.0,570.0,3660.0,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,OWNER,F,1974-06-30,No Card,
5042,330,1998-07-12,331584,48,6908.0,C,42,POPLATEK MESICNE,1996-11-24,6908.0,0.0,0.0,0.0,0.0,6908.0,1996-11-24,1998-07-08,936780.0,9275.049504950495,9920.564132524152,400.0,73943.0,42007.43564356436,13202.093957714318,496135.0,0.0,440645.0,3087.0,0.0,0.0,493048.0,440645.0,0.0,933468.0,0.0,0.0,0.0,225.0,3087.0,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668,OWNER,F,1973-05-26,No Card,
5043,339,1997-12-25,468060,60,7801.0,C,46,POPLATEK TYDNE,1996-09-11,11936.2,0.0,48.0,0.0,4087.0,7801.2,1996-09-11,1997-12-23,1552054.0,13857.625,18283.705589741436,400.0,127425.0,59623.330357142855,25407.587008816896,823645.0,108694.0,619715.0,4124.0,45485.0,819121.0,400.0,682924.0,0.0,1502643.0,0.0,0.0,44957.0,330.0,4124.0,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,OWNER,F,1947-10-19,classic,1998-02-02
5044,344,1994-12-21,100980,60,1683.0,C,54,POPLATEK MESICNE,1993-12-01,6422.0,0.0,0.0,0.0,4739.0,1683.0,1993-12-01,1994-12-10,368279.0,5261.128571428571,6252.745947324306,600.0,53377.0,35614.81428571429,9576.35704432394,207708.0,0.0,160571.0,1662.0,42651.0,0.0,206046.0,117920.0,0.0,323846.0,0.0,0.0,42651.0,120.0,1662.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,M,1965-07-31,No Card,
5045,347,1995-05-01,187224,24,7801.0,B,65,POPLATEK MESICNE,1993-12-13,7801.2,0.0,0.0,0.0,0.0,7801.2,1993-12-13,1995-04-30,953460.0,10834.772727272728,13396.125861072089,-243.0,92571.0,42084.38636363636,22038.460014325643,502144.0,89836.0,361480.0,2663.0,0.0,0.0,499481.0,451316.0,0.0,950617.0,0.0,0.0,0.0,180.0,2663.0,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,OWNER,M,1947-10-08,No Card,
5046,349,1998-09-09,42816,12,3568.0,C,72,POPLATEK MESICNE,1997-06-08,8228.0,0.0,0.0,0.0,4660.0,3568.0,1997-06-08,1998-09-01,272504.0,3205.929411764706,2975.2128926957052,1100.0,31617.0,17076.858823529412,5320.749130824086,145599.0,0.0,126905.0,1149.0,46600.0,0.0,144450.0,80305.0,0.0,224590.0,0.0,0.0,46600.0,165.0,1149.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,M,1937-06-01,No Card,
5051,378,1997-10-11,230400,60,3840.0,C,68,POPLATEK MESICNE,1996-07-22,13567.2,0.0,1188.0,2.0,8537.0,3840.2,1996-07-22,1997-10-07,2115382.0,12591.559523809523,15848.986364649782,20574.0,145352.0,79500.52976190476,22324.049948852677,1082327.0,41790.0,991265.0,4528.0,126455.0,0.0,1077799.0,906600.0,0.0,1999637.0,26.0,0.0,110981.0,210.0,4528.0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1961-07-24,No Card,
5060,426,1994-07-19,252060,60,4201.0,D,1,POPLATEK MESICNE,1993-11-29,12584.2,0.0,886.0,0.0,7497.0,4201.2,1993-11-29,1994-07-14,709135.0,11625.16393442623,11796.970155058641,900.0,106260.0,57340.688524590165,21418.98155183931,389615.0,64330.0,255190.0,1277.0,41915.0,0.0,388338.0,277605.0,0.0,670298.0,0.0,0.0,37485.0,75.0,1277.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1965-08-03,No Card,
5061,440,1998-03-13,84288,48,1756.0,C,29,POPLATEK MESICNE,1996-12-22,7581.0,0.0,0.0,0.0,5825.0,1756.0,1996-12-22,1998-03-10,505122.0,5942.611764705883,6812.821602883572,500.0,50218.0,25727.45882352941,8961.614600687788,272322.0,0.0,232800.0,1513.0,58250.0,0.0,270809.0,174550.0,0.0,445209.0,0.0,0.0,58250.0,150.0,1513.0,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888,OWNER,F,1957-09-27,No Card,
5063,442,1997-07-10,357840,48,7455.0,D,54,POPLATEK MESICNE,1997-03-30,15129.0,0.0,2068.0,0.0,5606.0,7455.0,1997-03-30,1997-06-28,10100.0,5050.0,6293.250352560273,600.0,10100.0,5350.0,6717.514421272202,10100.0,0.0,0.0,0.0,0.0,0.0,10100.0,0.0,0.0,10100.0,0.0,0.0,0.0,0.0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,F,1941-05-19,No Card,
5072,472,1997-04-28,196800,24,8200.0,D,8,POPLATEK MESICNE,1996-10-11,8200.2,0.0,0.0,0.0,0.0,8200.2,1996-10-11,1997-04-18,603997.0,26260.739130434784,23090.398183931135,300.0,113888.0,58669.565217391304,28112.210965127342,321082.0,0.0,282915.0,975.0,0.0,319807.0,300.0,282915.0,0.0,603007.0,0.0,0.0,0.0,15.0,975.0,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987,OWNER,F,1960-07-19,No Card,
5082,501,1996-10-24,262980,60,4383.0,C,13,POPLATEK MESICNE,1995-10-21,4382.7,0.0,0.0,0.0,0.0,4382.7,1995-10-21,1996-10-16,409377.0,7310.303571428572,10995.369516168064,900.0,78574.0,41729.642857142855,16330.102507531708,242727.0,0.0,166650.0,1869.0,0.0,0.0,240858.0,166650.0,0.0,407358.0,0.0,0.0,0.0,150.0,1869.0,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,OWNER,F,1966-03-09,No Card,
5086,525,1997-07-16,210384,48,4383.0,C,70,POPLATEK MESICNE,1996-03-20,10836.7,0.0,0.0,0.0,6454.0,4382.7,1996-03-20,1997-07-13,461704.0,7825.4915254237285,11367.164654772976,300.0,121135.0,45912.32203389831,21519.676021020357,254090.0,0.0,207614.0,2599.0,38724.0,0.0,251491.0,168890.0,0.0,420291.0,0.0,0.0,38724.0,90.0,2599.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1956-03-22,No Card,
5088,544,1996-08-22,91152,24,3798.0,A,32,POPLATEK MESICNE,1995-05-15,3798.2,0.0,0.0,0.0,0.0,3798.2,1995-05-15,1996-08-19,727883.0,9453.025974025973,10326.281942813413,400.0,72328.0,44829.5974025974,13400.057606179927,383630.0,31803.0,312450.0,2510.0,0.0,376020.0,5100.0,342453.0,1800.0,725223.0,0.0,0.0,0.0,150.0,2510.0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,OWNER,M,1942-12-10,classic,1996-08-08
5103,666,1997-11-28,12540,12,1045.0,A,27,POPLATEK MESICNE,1996-03-15,8218.0,0.0,2282.0,955.0,3936.0,1045.0,1996-03-15,1997-11-10,638878.0,4203.144736842105,5471.465287243312,200.0,57779.0,41922.125,9731.901464942213,346718.0,0.0,292160.0,3371.0,107595.0,0.0,343347.0,177765.0,6800.0,561917.0,14325.0,0.0,59040.0,225.0,3371.0,67298,71,19,10,0,7,43.8,8561,0.6,1.29,110,1029.0,1127,OWNER,F,1940-02-12,classic,1997-08-22
5110,675,1997-04-01,102240,60,1704.0,C,58,POPLATEK MESICNE,1995-08-03,8062.0,0.0,0.0,0.0,6358.0,1704.0,1995-08-03,1997-03-31,472023.0,3746.214285714286,3906.375166022112,900.0,43627.0,29947.103174603173,7804.963414473499,253393.0,0.0,218630.0,2526.0,95370.0,0.0,250867.0,123260.0,0.0,373887.0,0.0,0.0,95370.0,240.0,2526.0,109164,98,16,6,1,4,63.6,8757,3.3,3.95,96,2212.0,2471,OWNER,F,1945-09-24,classic,1998-07-01
5117,718,1997-08-20,76944,12,6412.0,A,1,POPLATEK MESICNE,1996-03-03,20301.0,0.0,7122.0,6041.0,726.0,6412.0,1996-03-03,1997-08-15,915510.0,8322.818181818182,10902.384648821519,500.0,105970.0,40141.86363636364,22283.49327261719,487382.0,59521.0,368607.0,2069.0,145657.0,0.0,485313.0,282471.0,0.0,838854.0,66451.0,0.0,7986.0,150.0,2069.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1956-09-13,classic,1998-09-16
5124,785,1998-02-12,156096,36,4336.0,C,21,POPLATEK TYDNE,1997-08-09,11730.8,0.0,0.0,0.0,7395.0,4335.8,1997-08-09,1998-02-08,314437.0,9528.39393939394,10640.960171488854,700.0,93801.0,51641.72727272727,19462.136585034685,171455.0,16432.0,126550.0,1358.0,14790.0,169097.0,1000.0,128192.0,0.0,298229.0,0.0,0.0,14790.0,60.0,1358.0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,M,1952-08-03,No Card,
5125,789,1995-11-23,73056,48,1522.0,C,39,POPLATEK MESICNE,1995-02-06,5316.0,0.0,1641.0,0.0,2153.0,1522.0,1995-02-06,1995-11-12,124715.0,2445.392156862745,2463.704966739576,500.0,33555.0,23255.254901960783,6550.567654312525,73130.0,0.0,51585.0,864.0,18970.0,0.0,72266.0,32615.0,0.0,113011.0,0.0,0.0,10765.0,75.0,864.0,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743,OWNER,M,1970-12-18,No Card,
5126,790,1994-07-24,208128,48,4336.0,B,54,POPLATEK MESICNE,1993-05-11,4335.8,0.0,0.0,0.0,0.0,4335.8,1993-05-11,1994-07-21,604301.0,9442.203125,12749.245267645972,-1070.0,96064.0,36370.0,22812.161999931333,342886.0,20995.0,240420.0,1824.0,0.0,0.0,341062.0,261415.0,0.0,602357.0,0.0,0.0,0.0,120.0,1824.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,M,1951-08-06,classic,1995-05-01
5128,808,1996-04-11,215616,48,4492.0,D,69,POPLATEK MESICNE,1995-06-13,4492.0,0.0,0.0,0.0,0.0,4492.0,1995-06-13,1996-04-08,321698.0,5273.737704918033,6437.497782269234,-3425.0,50125.0,21447.590163934427,13057.008001295766,165169.0,0.0,156529.0,1659.0,0.0,0.0,163510.0,156529.0,0.0,267750.0,0.0,14.0,52200.0,75.0,1659.0,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,OWNER,M,1957-02-17,No Card,
5130,813,1994-05-11,24312,12,2026.0,A,16,POPLATEK MESICNE,1993-02-10,2025.7,0.0,0.0,0.0,0.0,2025.7,1993-02-10,1994-05-06,386064.0,4949.538461538462,6039.575300481799,1100.0,48278.0,29380.884615384617,7695.8340914508335,207261.0,79338.0,99465.0,1897.0,0.0,194464.0,10900.0,178803.0,0.0,384002.0,0.0,0.0,0.0,165.0,1897.0,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1955-11-19,No Card,
5131,816,1995-01-08,48624,24,2026.0,A,52,POPLATEK MESICNE,1993-08-05,6539.7,0.0,0.0,0.0,4514.0,2025.7,1993-08-05,1995-01-07,1425159.0,12180.846153846154,13769.696488037745,200.0,134187.0,63857.29914529915,25825.85492468303,736575.0,26336.0,662248.0,4091.0,54168.0,0.0,732484.0,634416.0,0.0,1366720.0,0.0,0.0,54168.0,180.0,4091.0,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,OWNER,M,1961-09-30,No Card,
5132,817,1995-02-17,538500,60,8975.0,C,5,POPLATEK MESICNE,1994-03-18,13580.0,0.0,0.0,0.0,4605.0,8975.0,1994-03-18,1995-02-14,492998.0,8499.965517241379,9031.10265064623,200.0,69776.0,33687.84482758621,13408.006556442475,258133.0,0.0,234865.0,1277.0,32235.0,0.0,256856.0,202630.0,0.0,459396.0,0.0,0.0,32235.0,90.0,1277.0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,M,1960-06-28,No Card,
5134,825,1997-02-02,53076,12,4423.0,A,19,POPLATEK MESICNE,1996-03-06,13658.0,0.0,0.0,0.0,9235.0,4423.0,1996-03-06,1997-01-31,385933.0,5937.430769230769,6370.145298502889,500.0,65122.0,33129.47692307692,14034.798658276695,203498.0,0.0,182435.0,1762.0,55410.0,0.0,201736.0,127025.0,0.0,328656.0,0.0,0.0,55410.0,105.0,1762.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,M,1948-05-21,classic,1998-11-29
5136,846,1996-07-28,187104,24,7796.0,A,72,POPLATEK MESICNE,1996-03-09,7795.5,0.0,0.0,0.0,0.0,7795.5,1996-03-09,1996-07-21,490538.0,19621.52,17246.030140102775,300.0,137194.0,66292.68,34581.46008909013,288708.0,0.0,201830.0,877.0,0.0,0.0,287831.0,201830.0,0.0,489631.0,0.0,0.0,0.0,30.0,877.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,F,1977-05-10,classic,1998-04-16
5138,854,1995-05-30,87216,48,1817.0,C,62,POPLATEK MESICNE,1993-09-21,6147.0,0.0,1105.0,2843.0,382.0,1817.0,1993-09-21,1995-05-14,438191.0,2960.75,3810.3762181009615,700.0,43787.0,30847.175675675677,6554.747050351992,232491.0,0.0,205700.0,2282.0,68175.0,0.0,230209.0,137525.0,0.0,384084.0,45488.0,0.0,6112.0,225.0,2282.0,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906,OWNER,F,1954-03-16,No Card,
5140,873,1998-02-24,178500,60,2975.0,C,73,POPLATEK MESICNE,1997-04-26,7604.0,0.0,1540.0,2211.0,878.0,2975.0,1997-04-26,1998-02-20,173632.0,2713.0,2785.103280977976,1000.0,39316.0,21491.9375,8412.132494626012,96514.0,0.0,77118.0,830.0,24023.0,0.0,95684.0,53095.0,0.0,156404.0,11055.0,0.0,5268.0,75.0,830.0,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,OWNER,F,1971-08-26,No Card,
5145,915,1995-09-16,309552,48,6449.0,C,72,POPLATEK MESICNE,1995-01-18,20740.0,0.0,0.0,0.0,14291.0,6449.0,1995-01-18,1995-09-15,610018.0,17429.085714285713,17249.640013927365,700.0,121713.0,56105.45714285714,21979.38638861804,330909.0,0.0,279109.0,1310.0,57164.0,328899.0,700.0,221945.0,0.0,551499.0,0.0,0.0,57164.0,45.0,1310.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,M,1935-01-29,No Card,
5147,938,1998-05-21,22260,60,371.0,C,70,POPLATEK MESICNE,1997-12-13,3653.0,0.0,0.0,0.0,3282.0,371.0,1997-12-13,1998-05-13,48878.0,3258.5333333333333,3407.291674098499,700.0,31278.0,23066.733333333334,8114.052092042602,40078.0,0.0,8800.0,363.0,0.0,0.0,39715.0,8800.0,0.0,48515.0,0.0,0.0,0.0,0.0,363.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1940-11-26,No Card,
5148,940,1996-05-29,284280,60,4738.0,C,37,POPLATEK MESICNE,1994-11-15,4738.0,0.0,0.0,0.0,0.0,4738.0,1994-11-15,1996-05-12,1390313.0,14790.563829787234,16760.44672753786,300.0,109362.0,64182.65957446808,20167.75870955261,742463.0,38455.0,609395.0,4340.0,0.0,737823.0,300.0,647850.0,0.0,1385778.0,0.0,0.0,0.0,195.0,4340.0,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166,OWNER,F,1958-09-15,gold,1998-05-12
