account_id,district_id,frequency,date,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_DUCHOD_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,k_symbol_UVER_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
11,76,POPLATEK MESICNE,1995-10-10,2132.0,0.0,0.0,0.0,2132.0,0.0,1995-10-10,1998-12-31,258116,1387.720430107527,1467.8108049936238,300,40389,27834.63440860215,7444.8212151185935,140646,0,117470,4080,74620,136266,300,42850,0,0,253526,0,0,0,510,4080,0,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,OWNER,F,1942-06-22,No Card,
12,21,POPLATEK MESICNE,1997-04-15,3592.0,0.0,0.0,0.0,3592.0,0.0,1997-04-15,1998-12-31,216758,2044.8867924528302,2395.8432070518043,1100,29053,20142.69811320755,5000.973423663324,121433,0,95325,1573,53880,118760,1100,41445,0,118760,91745,0,0,4455,225,1573,0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1918-08-28,No Card,
13,76,POPLATEK MESICNE,1997-08-17,2444.0,0.0,0.0,0.0,2444.0,0.0,1997-08-17,1998-12-31,208219,2776.2533333333336,2795.3952971605618,1000,29751,15120.546666666667,4524.573171726402,110720,0,97499,872,26884,108848,1000,70615,0,108848,71450,0,0,26884,165,872,0,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,OWNER,M,1934-10-13,No Card,
14,47,POPLATEK MESICNE,1996-11-27,3629.0,0.0,0.0,0.0,3629.0,0.0,1996-11-27,1998-12-31,785868,6337.645161290323,6791.187867638005,400,59453,39603.73387096774,8017.344784911288,412588,0,373280,4143,72580,0,408445,287700,13000,0,708845,0,0,72580,300,4143,0,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,OWNER,M,1942-12-28,classic,1998-03-13
15,70,POPLATEK MESICNE,1993-10-02,3072.0,0.0,0.0,0.0,3072.0,0.0,1993-10-02,1998-12-31,2329599,6382.46301369863,7597.301937354936,800,66671,38645.30136986302,11120.223243278677,1188501,0,1141098,10043,181248,0,1178458,959850,0,0,2137438,0,0,181248,870,10043,0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,M,1979-01-04,No Card,
16,12,POPLATEK MESICNE,1997-09-23,,,,,,,1997-09-23,1998-12-31,661407,11023.45,11511.199225433773,500,60274,29600.766666666666,15889.165525513765,347217,0,314190,1539,0,0,345678,314190,0,0,659718,0,0,0,150,1539,0,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,OWNER,F,1952-10-29,No Card,
17,1,POPLATEK MESICNE,1997-01-08,4032.0,0.0,0.0,0.0,4032.0,0.0,1997-01-08,1998-12-31,413048,7649.037037037037,12615.762400346584,700,100815,50791.648148148146,24033.01851200537,255462,20507,137079,4218,8064,0,251244,149522,0,0,400751,0,0,8064,15,4218,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1969-10-11,No Card,
18,43,POPLATEK TYDNE,1993-05-26,,,,,,,1993-05-26,1998-12-31,3728704,11368.0,14312.517503801912,576,155603,52267.48170731707,31710.499937611243,1905134,456620,1366950,12006,0,0,1893128,1823570,0,0,3715048,0,0,0,1650,12006,0,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,OWNER,F,1939-07-29,No Card,
19,21,POPLATEK MESICNE,1995-04-07,2523.2,0.0,0.0,0.0,0.0,2523.2,1995-04-07,1998-12-31,1575532,5199.775577557756,6866.583330755517,-10605,58158,16253.069306930693,12127.947342953741,793196,32194,750142,5589,20184,741807,45800,762152,0,0,1068101,0,58,481000,600,5589,20184,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,F,1939-04-23,No Card,
20,74,POPLATEK MESICNE,1996-08-24,2003.0,0.0,0.0,0.0,2003.0,0.0,1996-08-24,1998-12-31,154761,1334.146551724138,1274.7384608433308,500,20458,15604.120689655172,2912.692700563527,86224,0,68537,1584,48072,84140,500,20465,0,0,104760,0,0,48072,345,1584,0,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,F,1969-04-20,No Card,
21,54,POPLATEK MESICNE,1997-12-06,6276.0,0.0,0.0,0.0,6276.0,0.0,1997-12-06,1998-12-31,298438,4813.5161290322585,5074.6096667849615,1100,61685,35286.290322580644,12203.134545435576,175834,0,122604,1815,56484,0,174019,66120,0,0,240019,0,0,56484,120,1815,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,F,1966-03-26,No Card,
22,1,POPLATEK MESICNE,1994-03-23,6352.0,0.0,0.0,0.0,6352.0,0.0,1994-03-23,1998-12-31,2099490,6772.548387096775,7094.872994745358,1100,68160,40694.506451612906,12165.649579088986,1067606,0,1031884,9975,330304,0,1057631,701580,0,0,1758431,0,0,330304,780,9975,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1945-09-29,No Card,
23,30,POPLATEK MESICNE,1993-05-22,5807.0,0.0,0.0,0.0,5807.0,0.0,1993-05-22,1998-12-31,3195889,8637.537837837837,9545.98835760324,800,95299,52316.197297297294,15257.047116742024,1639485,0,1556404,15261,360034,0,1624224,1196370,0,0,2819664,0,0,360034,930,15261,0,94812,15,13,8,2,10,81.8,9650,3.3,3.67,100,2985.0,2804,OWNER,F,1951-09-11,No Card,
24,74,POPLATEK MESICNE,1996-12-05,7862.0,0.0,7641.0,0.0,221.0,0.0,1996-12-05,1998-12-31,688143,4915.307142857143,5930.351980887377,1000,49091,27687.621428571427,9508.035453961149,354861,0,333282,2891,165102,0,351970,168180,0,0,680311,0,0,4641,300,2891,0,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,F,1957-10-09,No Card,
25,68,POPLATEK MESICNE,1996-07-28,10614.2,0.0,1110.0,164.0,6817.0,2523.2,1996-07-28,1998-12-31,2958556,10797.649635036496,15178.207418320886,900,134210,56279.23722627737,24090.94402616309,1494375,85758,1378423,6203,248733,0,1488172,1215448,0,0,2733200,4428,0,184059,390,6203,30276,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1962-02-09,No Card,
26,52,POPLATEK MESICNE,1993-08-08,10387.0,0.0,0.0,0.0,10387.0,0.0,1993-08-08,1998-12-31,3471064,9889.071225071226,10088.611854564306,800,83469,32862.65811965812,13040.497456875784,1761407,180637,1529020,9566,623220,1748541,3300,1086437,0,0,2837378,0,0,623220,900,9566,0,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,OWNER,M,1980-07-28,No Card,
27,73,POPLATEK MESICNE,1993-09-26,4054.0,0.0,0.0,0.0,4054.0,0.0,1993-09-26,1998-12-31,1204982,3423.244318181818,3508.293979513585,900,40464,22750.397727272728,6269.713260690385,618580,0,586402,6236,235132,0,612344,351270,0,0,962744,0,0,235132,870,6236,0,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,OWNER,F,1948-12-04,No Card,
29,7,POPLATEK MESICNE,1994-11-24,7708.0,0.0,829.0,8.0,6871.0,0.0,1994-11-24,1998-12-31,1885951,5138.8310626703,6832.598083633716,700,59950,32130.41144414169,9411.63974013087,961742,0,924209,6519,339989,0,955223,584220,0,0,1576088,360,0,302324,660,6519,0,94725,38,28,1,3,6,63.4,9920,2.2,2.87,130,4289.0,4846,OWNER,F,1978-07-17,No Card,
30,36,POPLATEK MESICNE,1995-03-04,2480.2,2480.2,0.0,0.0,0.0,0.0,1995-03-04,1998-12-30,4561821,16234.2384341637,17288.94669589968,400,149154,56750.23487544484,31682.237214954323,2302980,261796,1997045,8228,0,0,2294752,2258841,0,0,4552948,0,0,0,645,8228,0,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,F,1973-07-23,No Card,
31,68,POPLATEK MESICNE,1994-04-27,10202.0,0.0,0.0,0.0,10202.0,0.0,1994-04-27,1998-11-30,5807700,15163.707571801566,14765.268939885296,800,137131,57445.58746736292,28548.516313618675,2910489,382295,2514916,11596,540706,0,2898893,2356505,0,0,5254588,0,0,540706,810,11596,0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1968-01-25,No Card,
32,5,POPLATEK MESICNE,1995-08-28,,,,,,,1995-08-28,1998-12-31,1378959,7660.883333333333,8087.5095843415,700,90565,55656.96666666667,12532.692034442072,734334,0,644625,8596,0,0,725738,644625,0,0,1369838,0,0,0,525,8596,0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,F,1957-01-22,No Card,
33,22,POPLATEK MESICNE,1993-08-26,3892.0,0.0,0.0,0.0,3892.0,0.0,1993-08-26,1998-12-31,3232014,9395.389534883721,11056.843669131897,600,123696,72337.56104651163,21009.873887574202,1672201,0,1559813,19860,229628,0,1652341,1268785,61400,0,2981641,0,0,229628,885,19860,0,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117,OWNER,M,1968-08-27,gold,1995-09-03
34,67,POPLATEK TYDNE,1993-09-17,8051.0,1479.0,6070.0,0.0,502.0,0.0,1993-09-17,1998-12-31,4342634,10617.687041564792,13087.68534935715,600,94580,53975.894865525675,16340.084185145593,2196376,259672,1886586,14388,387246,2181388,600,1755112,3900,0,4297390,0,0,29116,1740,14388,0,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079,OWNER,M,1935-08-17,classic,1998-11-26
35,75,POPLATEK MESICNE,1993-07-07,2384.0,0.0,0.0,0.0,2384.0,0.0,1993-07-07,1998-12-31,697993,1841.67018469657,2138.1802069244072,600,32520,19932.31926121372,5108.906326487995,359359,0,338634,4769,145424,353990,600,193210,0,353990,275992,0,0,62342,900,4769,0,138032,67,30,4,2,5,64.6,8819,5.3,5.66,99,4063.0,4505,OWNER,M,1920-10-28,No Card,
36,1,POPLATEK MESICNE,1993-07-01,4069.0,0.0,0.0,0.0,4069.0,0.0,1993-07-01,1998-12-31,2793033,7198.538659793814,8521.252901657448,500,85055,44958.030927835054,13868.63815271446,1436080,0,1356953,12162,252278,0,1423918,1104675,0,0,2527678,0,0,252278,915,12162,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1977-01-11,No Card,
37,20,POPLATEK MESICNE,1997-08-18,10305.5,0.0,2584.0,97.0,2317.0,5307.5,1997-08-18,1998-12-31,948159,7293.530769230769,11915.486862953456,-1011,104762,37547.484615384616,23823.350617719592,497029,41655,409475,2535,75280,0,494494,375850,0,0,906325,1358,0,32438,195,2535,5308,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,OWNER,M,1952-08-26,No Card,
38,19,POPLATEK TYDNE,1997-08-08,9666.8,0.0,231.0,228.0,6901.0,2306.8,1997-08-08,1998-12-31,571952,4399.630769230769,5450.454497994165,13841,55991,34462.38461538462,9455.331494182408,308266,37819,225867,2506,107007,256060,49700,156679,0,0,465082,2736,0,82812,360,2506,18456,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1940-01-30,No Card,
39,36,POPLATEK MESICNE,1993-09-22,3115.0,0.0,0.0,0.0,3115.0,0.0,1993-09-22,1998-12-31,813566,2039.0125313283208,2343.188369726915,1100,36322,24918.152882205515,5073.974668726667,414931,0,398635,5969,183785,407862,1100,214850,0,407862,390310,0,0,8555,870,5969,0,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,M,1934-07-14,No Card,
40,64,POPLATEK MESICNE,1993-10-25,4334.0,0.0,4301.0,0.0,33.0,0.0,1993-10-25,1998-12-31,906138,2475.7868852459014,2942.3777279920546,700,41560,23698.26775956284,7303.264083123004,464911,0,441227,5626,251372,0,459285,189855,0,0,897743,0,0,1914,855,5626,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,OWNER,M,1940-02-09,No Card,
41,72,POPLATEK MESICNE,1997-08-02,,,,,,,1997-08-02,1998-12-31,555123,7818.633802816901,8390.026291869986,800,100992,58751.80281690141,18791.15566477235,327943,0,227180,3741,0,0,324202,227180,0,0,551202,0,0,0,180,3741,0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,F,1959-05-11,No Card,
42,39,POPLATEK MESICNE,1996-08-16,6070.0,0.0,239.0,1592.0,4239.0,0.0,1996-08-16,1998-12-31,595006,3005.080808080808,3467.848703884125,800,45322,29084.141414141413,6200.859918276933,310492,0,284514,3259,143849,0,307233,140665,0,0,453050,36616,0,101736,345,3259,0,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743,OWNER,F,1978-07-30,No Card,
43,36,POPLATEK MESICNE,1994-06-12,6589.0,0.0,0.0,0.0,6589.0,0.0,1994-06-12,1998-12-31,2841707,8852.669781931465,10204.605123576079,1100,99572,60897.218068535825,12558.058011782623,1451227,0,1390480,14347,329450,0,1436880,988030,73000,0,2497160,0,0,329450,750,14347,0,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,F,1979-12-02,junior,1995-04-24
44,32,POPLATEK MESICNE,1993-05-10,2344.0,0.0,0.0,0.0,2344.0,0.0,1993-05-10,1998-12-31,549441,1738.737341772152,1755.0847374282384,400,29482,19124.759493670885,4224.788774553366,286629,0,262812,4829,147672,281400,400,115140,0,281400,114610,0,0,147672,930,4829,0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,OWNER,M,1924-12-12,No Card,
45,64,POPLATEK MESICNE,1997-09-02,,,,,,,1997-09-02,1998-12-31,133404,1933.391304347826,3916.6414905142124,300,52970,27239.797101449276,8389.509018761099,79639,0,53765,1708,0,0,77931,53765,0,0,131531,0,0,0,165,1708,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,OWNER,M,1977-05-05,No Card,
47,45,POPLATEK MESICNE,1993-08-08,7264.0,0.0,183.0,141.0,6940.0,0.0,1993-08-08,1998-12-31,4933924,8732.608849557522,13542.647275344281,300,108509,45139.157522123896,18662.097988952257,2506331,236004,2191589,12207,442789,2485624,8500,1984804,0,0,4489017,8460,0,423340,900,12207,0,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122,OWNER,F,1948-09-18,No Card,
48,21,POPLATEK MESICNE,1996-11-17,7297.0,0.0,1029.0,0.0,6268.0,0.0,1996-11-17,1998-12-31,1197231,7928.682119205298,9632.020919392331,700,72803,49740.437086092716,12424.486701443599,634071,0,563160,5186,145940,0,628885,412020,5200,0,1066385,0,0,125360,300,5186,0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,M,1960-03-31,classic,1998-06-11
49,1,POPLATEK MESICNE,1997-04-06,3102.0,0.0,0.0,0.0,3102.0,0.0,1997-04-06,1998-12-31,183169,1969.5591397849462,1891.1080744319875,300,24004,15599.064516129032,4297.361869713869,99237,0,83932,1203,49632,97734,300,34300,0,97734,34360,0,0,49632,240,1203,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1927-04-29,No Card,
50,1,POPLATEK MESICNE,1994-05-06,7293.0,0.0,7024.0,0.0,269.0,0.0,1994-05-06,1998-12-31,1916928,5084.689655172414,6401.528661912014,900,90088,37433.424403183024,13082.041158496415,1001520,0,915408,9190,371943,0,992330,543465,0,0,1893254,0,0,13719,765,9190,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,M,1957-02-18,No Card,
51,67,POPLATEK MESICNE,1996-05-11,4131.0,0.0,2057.0,0.0,2074.0,0.0,1996-05-11,1998-12-31,1322354,6887.260416666667,8711.561622373707,800,106203,59944.59375,16569.663529732497,710284,0,612070,7959,109480,0,702325,489490,13100,0,1258007,0,0,55998,390,7959,0,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079,OWNER,M,1980-02-19,junior,1998-05-20
52,16,POPLATEK MESICNE,1997-01-29,4283.0,0.0,3723.0,0.0,560.0,0.0,1997-01-29,1998-12-31,1264713,8782.729166666666,11111.739337653426,900,83077,39730.82638888889,16925.186567783054,642934,108632,513147,3584,81377,638250,1100,540402,0,0,1250219,0,0,10640,270,3584,0,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1948-08-06,No Card,
53,77,POPLATEK MESICNE,1995-06-07,2851.0,0.0,0.0,0.0,2851.0,0.0,1995-06-07,1998-12-31,360136,1828.1015228426395,1736.786696879283,700,27519,18613.86802030457,3676.4846068119396,187627,0,172509,3016,111189,183911,700,61320,0,183911,61450,0,0,111189,570,3016,0,148545,8,35,12,3,4,53.5,8909,4.0,5.56,113,3460.0,3590,OWNER,M,1932-12-08,No Card,
54,4,POPLATEK MESICNE,1995-05-02,2280.0,0.0,0.0,0.0,2280.0,0.0,1995-05-02,1998-12-31,282795,1346.642857142857,1441.3904142820359,1000,29756,18798.22857142857,4698.323376522302,154800,0,127995,3276,91200,150524,1000,36795,0,0,187734,0,0,91200,585,3276,0,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892,OWNER,M,1959-06-04,No Card,
55,20,POPLATEK MESICNE,1996-02-19,3086.0,0.0,0.0,0.0,3086.0,0.0,1996-02-19,1998-12-31,298757,1991.7133333333334,1890.3454687162864,300,23445,16824.97333333333,3377.866253837519,159868,0,138889,2182,89494,157386,300,49395,0,157386,49260,0,0,89494,435,2182,0,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,OWNER,M,1926-04-22,No Card,
56,50,POPLATEK MESICNE,1994-05-16,8080.0,0.0,0.0,0.0,8080.0,0.0,1994-05-16,1998-12-31,1761931,6013.41638225256,6400.074705578907,900,78757,34957.84300341297,10353.509716413582,909741,0,852190,7556,412080,0,902185,440110,0,0,1341545,0,0,412080,750,7556,0,102609,75,33,2,3,6,52.0,8187,4.8,5.45,94,2123.0,2134,OWNER,F,1943-05-27,No Card,
57,1,POPLATEK MESICNE,1995-05-21,4107.0,0.0,0.0,0.0,4107.0,0.0,1995-05-21,1998-12-31,1955880,7670.117647058823,9139.537376184398,700,77726,43838.76078431372,12434.005317588786,1009437,0,946443,7261,160173,0,1002176,786270,0,0,1787876,0,0,160173,570,7261,0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1951-11-10,No Card,
58,29,POPLATEK MESICNE,1996-08-23,,,,,,,1996-08-23,1998-12-31,317495,2317.4817518248174,2664.3372730275655,-2204,28954,12628.87591240876,6826.734974957834,164373,0,153122,1261,0,162512,600,153122,0,162512,103850,0,27,49500,345,1261,0,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888,OWNER,F,1932-11-11,No Card,
59,43,POPLATEK MESICNE,1994-03-27,6885.0,0.0,6190.0,0.0,695.0,0.0,1994-03-27,1998-12-31,1802407,4681.5766233766235,5622.140651957186,600,89720,45484.73246753247,14314.247782971424,941102,0,861305,10261,364905,0,930841,496400,0,0,1754531,0,0,36835,780,10261,0,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,OWNER,M,1946-12-14,No Card,
61,70,POPLATEK MESICNE,1993-12-11,2313.0,0.0,0.0,0.0,2313.0,0.0,1993-12-11,1998-12-31,474598,1399.9941002949852,1459.6331913256593,700,31765,19932.36283185841,4082.961016691387,246503,0,228095,4663,128860,241140,700,99235,0,241140,135850,0,0,92120,825,4663,0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,M,1925-12-22,No Card,
62,47,POPLATEK MESICNE,1993-03-28,2273.0,0.0,0.0,0.0,2273.0,0.0,1993-03-28,1998-12-31,698850,1963.061797752809,1947.9896944520528,1100,36366,23603.59831460674,4810.40695638962,357755,0,341095,6204,147745,350451,1100,193350,0,350451,193490,0,0,147745,960,6204,0,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,OWNER,M,1923-01-13,No Card,
63,22,POPLATEK MESICNE,1996-11-16,2394.0,0.0,0.0,0.0,2394.0,0.0,1996-11-16,1998-12-31,224742,1742.1860465116279,2087.699420741951,600,37303,26384.81395348837,4913.283941532005,128535,0,96207,2335,50117,125600,600,46090,0,125600,49530,0,0,46977,300,2335,0,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117,OWNER,M,1924-02-20,No Card,
64,64,POPLATEK MESICNE,1997-03-11,,,,,,,1997-03-11,1998-12-01,217928,4952.909090909091,9110.623599053819,200,79559,24198.56818181818,12909.001073521273,119828,0,98100,2680,0,0,117148,98100,0,0,215248,0,0,0,0,2680,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,OWNER,F,1977-09-19,No Card,
65,36,POPLATEK MESICNE,1996-10-29,7402.0,0.0,3315.0,3401.0,686.0,0.0,1996-10-29,1998-12-31,1357458,7499.767955801105,10119.550092725945,600,85379,53423.298342541435,14214.48528201846,706799,0,650659,5384,162844,0,701415,463615,24200,0,1261845,74822,0,15092,315,5384,0,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,OWNER,F,1967-10-01,classic,1997-10-25
66,48,POPLATEK PO OBRATU,1993-12-03,4471.3,4471.3,0.0,0.0,0.0,0.0,1993-12-03,1998-12-31,5879320,18605.443037974685,20221.91002125804,400,129813,64825.601265822785,23902.769972958977,2989788,193332,2696200,15968,0,2973420,400,2875132,14400,0,5857752,0,0,0,5600,15968,0,78955,50,24,8,1,9,59.0,9060,1.7,2.44,124,1655.0,1717,OWNER,F,1956-02-18,classic,1996-12-07
67,16,POPLATEK MESICNE,1994-10-19,13753.0,0.0,445.0,0.0,6393.0,6915.0,1994-10-19,1998-12-31,4518183,11827.704188481675,15660.188866931376,700,134939,56893.405759162306,23399.323306842234,2278938,246762,1992483,10933,480508,2261205,6800,1758737,0,0,4046537,0,0,294078,675,10933,165960,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,OWNER,F,1944-06-13,No Card,
