,loan_id,account_id,date_x,amount,duration,payments,status,district_id,frequency,date_y,amount_order,k_symbol_LEASING,k_symbol_Other,k_symbol_POJISTNE,k_symbol_SIPO,k_symbol_UVER,date_min,date_max,amount_sum,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,type_PRIJEM_sum,type_VYBER_sum,type_VYDAJ_sum,operation_Other_sum,operation_PREVOD NA UCET_sum,operation_PREVOD Z UCTU_sum,operation_VKLAD_sum,operation_VYBER_sum,operation_VYBER KARTOU_sum,k_symbol_Other_sum,k_symbol_POJISTNE_sum,k_symbol_SANKC. UROK_sum,k_symbol_SIPO_sum,k_symbol_SLUZBY_sum,k_symbol_UROK_sum,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,type_x,gender,birth_date,type_y,issued
15,5032,290,1994-11-03,123696,48,2577.0,0,56,POPLATEK MESICNE,1993-12-02,8504.0,0.0,3274.0,0.0,2653.0,2577.0,1993-12-02,1994-10-31,546151.0,8953.295081967213,12420.969352059796,300.0,89822.0,49084.50819672131,20572.423084980335,285669.0,50330.0,210152.0,2169.0,35562.0,0.0,283500.0,224920.0,0.0,527974.0,0.0,0.0,15918.0,90.0,2169.0,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,OWNER,M,1940-08-27,No Card,
16,5034,303,1998-05-30,112752,36,3132.0,1,71,POPLATEK MESICNE,1996-07-25,6935.0,0.0,0.0,0.0,3803.0,3132.0,1996-07-25,1998-05-20,720529.0,5585.496124031008,6588.927711893869,900.0,68402.0,44659.68992248062,11387.137767152059,384720.0,0.0,335809.0,3601.0,68454.0,0.0,381119.0,267355.0,0.0,648219.0,0.0,0.0,68454.0,255.0,3601.0,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595,OWNER,F,1956-01-05,classic,1998-10-18
19,5041,319,1997-07-11,369000,60,6150.0,1,47,POPLATEK TYDNE,1995-10-17,9818.5,0.0,2196.0,416.0,1057.0,6149.5,1995-10-17,1997-07-10,1035410.0,6055.029239766081,9536.385586378161,700.0,110827.0,48648.3567251462,19732.059611236993,547477.0,28705.0,459228.0,3660.0,66458.0,0.0,543817.0,421475.0,0.0,1004250.0,7904.0,0.0,19026.0,570.0,3660.0,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,OWNER,F,1974-06-30,No Card,
20,5042,330,1998-07-12,331584,48,6908.0,1,42,POPLATEK MESICNE,1996-11-24,6908.0,0.0,0.0,0.0,0.0,6908.0,1996-11-24,1998-07-08,936780.0,9275.049504950495,9920.564132524152,400.0,73943.0,42007.43564356436,13202.093957714318,496135.0,0.0,440645.0,3087.0,0.0,0.0,493048.0,440645.0,0.0,933468.0,0.0,0.0,0.0,225.0,3087.0,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668,OWNER,F,1973-05-26,No Card,
21,5043,339,1997-12-25,468060,60,7801.0,1,46,POPLATEK TYDNE,1996-09-11,11936.2,0.0,48.0,0.0,4087.0,7801.2,1996-09-11,1997-12-23,1552054.0,13857.625,18283.705589741436,400.0,127425.0,59623.330357142855,25407.587008816896,823645.0,108694.0,619715.0,4124.0,45485.0,819121.0,400.0,682924.0,0.0,1502643.0,0.0,0.0,44957.0,330.0,4124.0,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,OWNER,F,1947-10-19,classic,1998-02-02
22,5044,344,1994-12-21,100980,60,1683.0,1,54,POPLATEK MESICNE,1993-12-01,6422.0,0.0,0.0,0.0,4739.0,1683.0,1993-12-01,1994-12-10,368279.0,5261.128571428571,6252.745947324306,600.0,53377.0,35614.81428571429,9576.35704432394,207708.0,0.0,160571.0,1662.0,42651.0,0.0,206046.0,117920.0,0.0,323846.0,0.0,0.0,42651.0,120.0,1662.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,M,1965-07-31,No Card,
23,5045,347,1995-05-01,187224,24,7801.0,1,65,POPLATEK MESICNE,1993-12-13,7801.2,0.0,0.0,0.0,0.0,7801.2,1993-12-13,1995-04-30,953460.0,10834.772727272728,13396.125861072089,-243.0,92571.0,42084.38636363636,22038.460014325643,502144.0,89836.0,361480.0,2663.0,0.0,0.0,499481.0,451316.0,0.0,950617.0,0.0,0.0,0.0,180.0,2663.0,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,OWNER,M,1947-10-08,No Card,
25,5051,378,1997-10-11,230400,60,3840.0,1,68,POPLATEK MESICNE,1996-07-22,13567.2,0.0,1188.0,2.0,8537.0,3840.2,1996-07-22,1997-10-07,2115382.0,12591.559523809523,15848.986364649782,20574.0,145352.0,79500.52976190476,22324.049948852677,1082327.0,41790.0,991265.0,4528.0,126455.0,0.0,1077799.0,906600.0,0.0,1999637.0,26.0,0.0,110981.0,210.0,4528.0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,M,1961-07-24,No Card,
26,5060,426,1994-07-19,252060,60,4201.0,1,1,POPLATEK MESICNE,1993-11-29,12584.2,0.0,886.0,0.0,7497.0,4201.2,1993-11-29,1994-07-14,709135.0,11625.16393442623,11796.970155058641,900.0,106260.0,57340.688524590165,21418.98155183931,389615.0,64330.0,255190.0,1277.0,41915.0,0.0,388338.0,277605.0,0.0,670298.0,0.0,0.0,37485.0,75.0,1277.0,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,OWNER,F,1965-08-03,No Card,
28,5063,442,1997-07-10,357840,48,7455.0,1,54,POPLATEK MESICNE,1997-03-30,15129.0,0.0,2068.0,0.0,5606.0,7455.0,1997-03-30,1997-06-28,10100.0,5050.0,6293.250352560273,600.0,10100.0,5350.0,6717.514421272202,10100.0,0.0,0.0,0.0,0.0,0.0,10100.0,0.0,0.0,10100.0,0.0,0.0,0.0,0.0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,F,1941-05-19,No Card,
29,5072,472,1997-04-28,196800,24,8200.0,1,8,POPLATEK MESICNE,1996-10-11,8200.2,0.0,0.0,0.0,0.0,8200.2,1996-10-11,1997-04-18,603997.0,26260.739130434784,23090.398183931135,300.0,113888.0,58669.565217391304,28112.210965127342,321082.0,0.0,282915.0,975.0,0.0,319807.0,300.0,282915.0,0.0,603007.0,0.0,0.0,0.0,15.0,975.0,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987,OWNER,F,1960-07-19,No Card,
30,5082,501,1996-10-24,262980,60,4383.0,1,13,POPLATEK MESICNE,1995-10-21,4382.7,0.0,0.0,0.0,0.0,4382.7,1995-10-21,1996-10-16,409377.0,7310.303571428572,10995.369516168064,900.0,78574.0,41729.642857142855,16330.102507531708,242727.0,0.0,166650.0,1869.0,0.0,0.0,240858.0,166650.0,0.0,407358.0,0.0,0.0,0.0,150.0,1869.0,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,OWNER,F,1966-03-09,No Card,
31,5086,525,1997-07-16,210384,48,4383.0,1,70,POPLATEK MESICNE,1996-03-20,10836.7,0.0,0.0,0.0,6454.0,4382.7,1996-03-20,1997-07-13,461704.0,7825.4915254237285,11367.164654772976,300.0,121135.0,45912.32203389831,21519.676021020357,254090.0,0.0,207614.0,2599.0,38724.0,0.0,251491.0,168890.0,0.0,420291.0,0.0,0.0,38724.0,90.0,2599.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1956-03-22,No Card,
34,5110,675,1997-04-01,102240,60,1704.0,1,58,POPLATEK MESICNE,1995-08-03,8062.0,0.0,0.0,0.0,6358.0,1704.0,1995-08-03,1997-03-31,472023.0,3746.214285714286,3906.375166022112,900.0,43627.0,29947.103174603173,7804.963414473499,253393.0,0.0,218630.0,2526.0,95370.0,0.0,250867.0,123260.0,0.0,373887.0,0.0,0.0,95370.0,240.0,2526.0,109164,98,16,6,1,4,63.6,8757,3.3,3.95,96,2212.0,2471,OWNER,F,1945-09-24,classic,1998-07-01
36,5124,785,1998-02-12,156096,36,4336.0,1,21,POPLATEK TYDNE,1997-08-09,11730.8,0.0,0.0,0.0,7395.0,4335.8,1997-08-09,1998-02-08,314437.0,9528.39393939394,10640.960171488854,700.0,93801.0,51641.72727272727,19462.136585034685,171455.0,16432.0,126550.0,1358.0,14790.0,169097.0,1000.0,128192.0,0.0,298229.0,0.0,0.0,14790.0,60.0,1358.0,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,OWNER,M,1952-08-03,No Card,
38,5126,790,1994-07-24,208128,48,4336.0,1,54,POPLATEK MESICNE,1993-05-11,4335.8,0.0,0.0,0.0,0.0,4335.8,1993-05-11,1994-07-21,604301.0,9442.203125,12749.245267645972,-1070.0,96064.0,36370.0,22812.161999931333,342886.0,20995.0,240420.0,1824.0,0.0,0.0,341062.0,261415.0,0.0,602357.0,0.0,0.0,0.0,120.0,1824.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,M,1951-08-06,classic,1995-05-01
39,5128,808,1996-04-11,215616,48,4492.0,1,69,POPLATEK MESICNE,1995-06-13,4492.0,0.0,0.0,0.0,0.0,4492.0,1995-06-13,1996-04-08,321698.0,5273.737704918033,6437.497782269234,-3425.0,50125.0,21447.590163934427,13057.008001295766,165169.0,0.0,156529.0,1659.0,0.0,0.0,163510.0,156529.0,0.0,267750.0,0.0,14.0,52200.0,75.0,1659.0,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358,OWNER,M,1957-02-17,No Card,
42,5132,817,1995-02-17,538500,60,8975.0,1,5,POPLATEK MESICNE,1994-03-18,13580.0,0.0,0.0,0.0,4605.0,8975.0,1994-03-18,1995-02-14,492998.0,8499.965517241379,9031.10265064623,200.0,69776.0,33687.84482758621,13408.006556442475,258133.0,0.0,234865.0,1277.0,32235.0,0.0,256856.0,202630.0,0.0,459396.0,0.0,0.0,32235.0,90.0,1277.0,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,OWNER,M,1960-06-28,No Card,
44,5136,846,1996-07-28,187104,24,7796.0,0,72,POPLATEK MESICNE,1996-03-09,7795.5,0.0,0.0,0.0,0.0,7795.5,1996-03-09,1996-07-21,490538.0,19621.52,17246.030140102775,300.0,137194.0,66292.68,34581.46008909013,288708.0,0.0,201830.0,877.0,0.0,0.0,287831.0,201830.0,0.0,489631.0,0.0,0.0,0.0,30.0,877.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,F,1977-05-10,classic,1998-04-16
46,5140,873,1998-02-24,178500,60,2975.0,1,73,POPLATEK MESICNE,1997-04-26,7604.0,0.0,1540.0,2211.0,878.0,2975.0,1997-04-26,1998-02-20,173632.0,2713.0,2785.103280977976,1000.0,39316.0,21491.9375,8412.132494626012,96514.0,0.0,77118.0,830.0,24023.0,0.0,95684.0,53095.0,0.0,156404.0,11055.0,0.0,5268.0,75.0,830.0,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,OWNER,F,1971-08-26,No Card,
47,5145,915,1995-09-16,309552,48,6449.0,1,72,POPLATEK MESICNE,1995-01-18,20740.0,0.0,0.0,0.0,14291.0,6449.0,1995-01-18,1995-09-15,610018.0,17429.085714285713,17249.640013927365,700.0,121713.0,56105.45714285714,21979.38638861804,330909.0,0.0,279109.0,1310.0,57164.0,328899.0,700.0,221945.0,0.0,551499.0,0.0,0.0,57164.0,45.0,1310.0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,OWNER,M,1935-01-29,No Card,
49,5148,940,1996-05-29,284280,60,4738.0,1,37,POPLATEK MESICNE,1994-11-15,4738.0,0.0,0.0,0.0,0.0,4738.0,1994-11-15,1996-05-12,1390313.0,14790.563829787234,16760.44672753786,300.0,109362.0,64182.65957446808,20167.75870955261,742463.0,38455.0,609395.0,4340.0,0.0,737823.0,300.0,647850.0,0.0,1385778.0,0.0,0.0,0.0,195.0,4340.0,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166,OWNER,F,1958-09-15,gold,1998-05-12
50,5151,960,1995-05-24,189060,60,3151.0,1,4,POPLATEK PO OBRATU,1994-11-02,9091.0,0.0,0.0,0.0,5940.0,3151.0,1994-11-02,1995-05-16,535004.0,17833.466666666667,18365.52371406691,200.0,101794.0,72243.0,24682.999876363323,301975.0,9909.0,223120.0,1693.0,17820.0,300082.0,200.0,215209.0,0.0,515291.0,0.0,0.0,17820.0,200.0,1693.0,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892,OWNER,F,1958-12-30,classic,1997-02-19
51,5154,993,1998-07-01,108720,60,1812.0,1,6,POPLATEK MESICNE,1996-11-14,1812.3,0.0,0.0,0.0,0.0,1812.3,1996-11-14,1998-06-30,636940.0,9952.1875,13665.694729521663,1000.0,112611.0,50883.265625,21193.14194272557,339137.0,32928.0,264875.0,4892.0,0.0,0.0,334245.0,297803.0,0.0,631973.0,0.0,0.0,0.0,75.0,4892.0,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120,OWNER,F,1966-10-02,classic,1998-12-22
52,5158,1004,1998-04-11,188532,36,5237.0,1,70,POPLATEK MESICNE,1996-07-02,5237.0,0.0,0.0,0.0,0.0,5237.0,1996-07-02,1998-04-01,2292664.0,15490.972972972973,16861.81573487314,200.0,143846.0,64193.44594594595,29366.43809981946,1157402.0,46922.0,1088340.0,4466.0,0.0,0.0,1152936.0,1135262.0,0.0,2287958.0,0.0,0.0,0.0,240.0,4466.0,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,OWNER,F,1975-09-01,No Card,
53,5160,1011,1995-12-18,204000,60,3400.0,1,45,POPLATEK MESICNE,1994-12-17,10485.5,0.0,0.0,0.0,7085.0,3400.5,1994-12-17,1995-12-12,500631.0,7702.015384615384,8253.136465331507,400.0,68173.0,37809.4,12656.838936667793,269310.0,26836.0,204485.0,1572.0,56680.0,265238.0,2500.0,174641.0,0.0,442274.0,0.0,0.0,56680.0,105.0,1572.0,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122,OWNER,M,1944-05-06,No Card,
55,5169,1068,1998-09-24,253200,60,4220.0,1,52,POPLATEK MESICNE,1997-02-15,12861.5,0.0,3273.0,632.0,4737.0,4219.5,1997-02-15,1998-09-22,792845.0,5916.753731343284,8838.147450253902,1000.0,96491.0,34086.18656716418,18873.36876829834,420722.0,20483.0,351640.0,2611.0,129630.0,0.0,418111.0,242493.0,0.0,709489.0,9480.0,0.0,71055.0,210.0,2611.0,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,OWNER,M,1936-11-27,No Card,
56,5170,1071,1994-01-20,253200,60,4220.0,1,68,POPLATEK TYDNE,1993-05-10,4219.5,0.0,0.0,0.0,0.0,4219.5,1993-05-10,1994-01-19,488407.0,11912.365853658537,14459.614119602391,800.0,104418.0,47302.65853658537,26552.66496192967,284779.0,39878.0,163750.0,1714.0,0.0,0.0,283065.0,203628.0,0.0,486543.0,0.0,0.0,0.0,150.0,1714.0,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,OWNER,F,1950-03-13,No Card,
58,5174,1093,1997-06-13,385104,48,8023.0,1,54,POPLATEK MESICNE,1996-01-14,18283.8,0.0,0.0,0.0,10261.0,8022.8,1996-01-14,1997-06-07,1736448.0,17024.0,19080.919551496805,1000.0,121007.0,47433.51960784314,24768.395927200105,894090.0,90585.0,751773.0,2554.0,133393.0,890536.0,1000.0,708965.0,0.0,1600321.0,0.0,0.0,133393.0,180.0,2554.0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,OWNER,F,1956-12-18,No Card,
59,5176,1106,1994-11-12,192552,24,8023.0,1,20,POPLATEK TYDNE,1993-08-29,8022.8,0.0,0.0,0.0,0.0,8022.8,1993-08-29,1994-10-31,294494.0,5774.392156862745,6781.390058324125,800.0,49563.0,23979.058823529413,13014.999946848657,158359.0,19155.0,116980.0,1465.0,0.0,0.0,156894.0,136135.0,0.0,292849.0,0.0,0.0,0.0,180.0,1465.0,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,OWNER,F,1963-12-31,No Card,
60,5189,1166,1994-02-07,149040,48,3105.0,0,11,POPLATEK MESICNE,1993-04-21,7502.2,0.0,0.0,0.0,4397.0,3105.2,1993-04-21,1994-01-31,360832.0,6682.074074074074,7628.991010839252,200.0,62442.0,36845.851851851854,12658.28819898573,189932.0,7440.0,163460.0,1223.0,21985.0,186309.0,2400.0,148915.0,0.0,337549.0,0.0,0.0,21985.0,75.0,1223.0,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529,OWNER,F,1968-12-20,No Card,
61,5206,1242,1997-09-07,128544,24,5356.0,1,74,POPLATEK PO OBRATU,1996-11-24,14399.7,0.0,3712.0,422.0,4910.0,5355.7,1996-11-24,1997-08-31,468524.0,7808.733333333334,12884.834581742602,200.0,131453.0,40526.55,22589.40154174977,249804.0,0.0,218720.0,1786.0,45220.0,0.0,248018.0,173500.0,0.0,439478.0,2110.0,0.0,24550.0,600.0,1786.0,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,OWNER,F,1951-11-29,No Card,
64,5209,1250,1996-11-25,182640,48,3805.0,1,62,POPLATEK MESICNE,1996-03-28,13935.2,0.0,10069.0,0.0,61.0,3805.2,1996-03-28,1996-11-23,369105.0,9227.625,9813.293220429532,600.0,64412.0,37802.3,14199.471870279956,196501.0,0.0,172604.0,938.0,40459.0,194063.0,1500.0,132145.0,0.0,367939.0,0.0,0.0,183.0,45.0,938.0,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906,OWNER,F,1942-04-19,No Card,
65,5210,1252,1997-04-01,148140,36,4115.0,1,13,POPLATEK TYDNE,1995-07-26,4114.7,0.0,0.0,0.0,0.0,4114.7,1995-07-26,1997-03-31,1047138.0,8874.050847457627,10150.118619868068,1000.0,78469.0,40688.41525423729,13220.370657181646,536681.0,47877.0,462580.0,3189.0,0.0,530792.0,2700.0,510457.0,0.0,1043469.0,0.0,0.0,0.0,480.0,3189.0,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,OWNER,F,1962-03-06,No Card,
69,5226,1318,1998-10-11,185544,36,5154.0,1,56,POPLATEK MESICNE,1997-12-22,18352.0,0.0,2506.0,2015.0,8677.0,5154.0,1997-12-22,1998-10-10,265128.0,7575.085714285714,8839.893602538534,200.0,70888.0,27729.85714285714,15360.884723185434,139411.0,40906.0,84811.0,924.0,24381.0,0.0,138487.0,101336.0,0.0,244805.0,2015.0,0.0,17354.0,30.0,924.0,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158,OWNER,M,1939-09-29,No Card,
71,5236,1374,1997-09-15,389136,48,8107.0,1,53,POPLATEK MESICNE,1996-09-26,8107.3,0.0,0.0,0.0,0.0,8107.3,1996-09-26,1997-09-14,1192216.0,19229.290322580644,20943.730478130215,700.0,126404.0,59750.01612903226,25629.28248708914,635491.0,51020.0,505705.0,2419.0,0.0,632372.0,700.0,556725.0,0.0,1189692.0,0.0,0.0,0.0,105.0,2419.0,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,OWNER,M,1967-09-07,No Card,
73,5241,1389,1998-09-02,125472,24,5228.0,1,34,POPLATEK MESICNE,1997-08-05,11603.7,0.0,0.0,0.0,6376.0,5227.7,1997-08-05,1998-08-31,1061624.0,10944.577319587628,12690.299523516516,800.0,117375.0,48989.17525773196,29467.201750070897,539447.0,70261.0,451916.0,2088.0,70136.0,0.0,537359.0,452041.0,0.0,989220.0,0.0,0.0,70136.0,180.0,2088.0,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190,OWNER,M,1940-11-25,No Card,
74,5245,1407,1998-01-17,125472,24,5228.0,1,19,POPLATEK PO OBRATU,1997-04-11,20109.7,0.0,0.0,0.0,14882.0,5227.7,1997-04-11,1998-01-14,1160930.0,15077.012987012988,16417.37770064448,800.0,143697.0,71376.02597402598,25109.200073706485,601541.0,23133.0,536256.0,2342.0,119056.0,0.0,599199.0,440333.0,0.0,1038732.0,0.0,0.0,119056.0,800.0,2342.0,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,OWNER,F,1946-07-01,No Card,
75,5253,1447,1997-06-03,100080,48,2085.0,1,65,POPLATEK MESICNE,1997-02-20,10294.7,0.0,0.0,0.0,8210.0,2084.7,1997-02-20,1997-05-31,53742.0,5374.2,5598.91000900076,300.0,38629.0,22604.4,11029.192044549573,41842.0,0.0,11900.0,218.0,0.0,37524.0,4100.0,11900.0,0.0,53524.0,0.0,0.0,0.0,0.0,218.0,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,OWNER,F,1965-08-18,No Card,
76,5260,1480,1998-01-19,123300,36,3425.0,1,41,POPLATEK TYDNE,1996-07-03,3425.2,0.0,0.0,0.0,0.0,3425.2,1996-07-03,1998-01-17,1194540.0,13272.666666666666,15644.384227740271,800.0,132025.0,55026.64444444444,25548.095622122277,622070.0,33670.0,538800.0,2748.0,0.0,0.0,619322.0,568270.0,4200.0,1191492.0,0.0,0.0,0.0,300.0,2748.0,118650,8,8,5,1,3,85.6,9832,3.3,4.48,114,6445.0,5471,OWNER,F,1945-03-17,classic,1997-06-22
